Submission ID,cup_assumptions,spent_assumptions
Zd694B,3,5.0
QA5JYA,1,1.6666666666666667
ylqbBg,2,1.0
YZzBdN,2,1.6666666666666667
VZ17Z6,1,1.0
RzBeZj,5,1.6666666666666667
WApbkQ,2,2.3333333333333335
0Ej0WA,2,5.0
9dJYlQ,2,1.0
bl41Zg,0,0.3333333333333333
eBxG20,3,1.0
NAB2qB,2,2.3333333333333335
RzBqoJ,2,1.6666666666666667
5dqajd,5,5.0
VZ1W0E,5,5.0
NABN5G,5,1.6666666666666667
6dQY8o,2,5.0
WAp6va,5,2.3333333333333335
OABqQp,2,1.0
jB9r21,1,5.0
pLPYLE,2,1.6666666666666667
g5NPxK,2,1.6666666666666667
bl41kE,2,3.0
GrBO1z,2,1.6666666666666667
xdN8Q9,2,1.6666666666666667
vNx8Xv,1,1.0
dY2JPN,2,1.0
MAdjLE,2,5.0
6dQ6xo,3,1.6666666666666667
7d97lZ,2,5.0
0EjqPQ,3,1.6666666666666667
BGbJD4,1,1.0
9dJYbp,3,1.0
xdNbJ9,1,1.0
pLPNQJ,1,1.6666666666666667
AlbMLW,2,3.0
EPboPq,3,5.0
ylq8yW,3,1.0
J2kEDz,1,1.0
24x9Lg,2,1.0
0EjYb6,3,5.0
ZdRb6a,2,1.0
WApbdP,3,1.0
24xY69,2,1.0
RzBqWd,1,1.6666666666666667
RzBqLv,5,1.6666666666666667
oAV8d5,3,1.6666666666666667
oAV8OM,2,2.3333333333333335
AlbYyW,1,1.0
KMB4kk,1,2.3333333333333335
42N0Kd,2,2.3333333333333335
0Ej0VZ,1,0.3333333333333333
rlrQQo,1,1.0
vNx84X,2,1.6666666666666667
OABxLk,1,2.3333333333333335
MAd2V0,1,0.3333333333333333
8dpbGk,2,3.0
zKQ8ja,1,1.0
YZzBLJ,1,2.3333333333333335
QABNdl,3,1.6666666666666667
8dpbko,2,5.0
XeB6Ee,4,3.0
KMBroK,0,0.3333333333333333
24x9rg,1,1.0
dY2JjD,2,1.0
LdMjyz,1,1.0
9dJYM1,4,1.6666666666666667
kYR4rj,2,1.0
pLPN7q,1,1.6666666666666667
6dQ0eO,0,0.3333333333333333
42NlLd,2,1.0
LdMxaj,2,2.3333333333333335
BGbJZ4,2,2.3333333333333335
J2kER7,2,1.0
eBxgQO,0,0.3333333333333333
J2kELz,2,1.0
LdMjqJ,5,5.0
oAVNeM,3,1.0
oAVZ95,2,1.6666666666666667
eBxGvE,5,2.3333333333333335
