Submission ID,cup_assumptions,spent_assumptions
Zd694B,3,150
QA5JYA,1,50
ylqbBg,2,30
YZzBdN,2,50
VZ17Z6,1,30
RzBeZj,5,50
WApbkQ,2,70
0Ej0WA,2,150
9dJYlQ,2,30
bl41Zg,0,10
eBxG20,3,30
NAB2qB,2,70
RzBqoJ,2,50
5dqajd,5,150
VZ1W0E,5,150
NABN5G,5,50
6dQY8o,2,150
WAp6va,5,70
OABqQp,2,30
jB9r21,1,150
pLPYLE,2,50
g5NPxK,2,50
bl41kE,2,90
GrBO1z,2,50
xdN8Q9,2,50
vNx8Xv,1,30
dY2JPN,2,30
MAdjLE,2,150
6dQ6xo,3,50
7d97lZ,2,150
0EjqPQ,3,50
BGbJD4,1,30
9dJYbp,3,30
xdNbJ9,1,30
pLPNQJ,1,50
AlbMLW,2,90
EPboPq,3,150
ylq8yW,3,30
J2kEDz,1,30
24x9Lg,2,30
0EjYb6,3,150
ZdRb6a,2,30
WApbdP,3,30
24xY69,2,30
RzBqWd,1,50
RzBqLv,5,50
oAV8d5,3,50
oAV8OM,2,70
AlbYyW,1,30
KMB4kk,1,70
42N0Kd,2,70
0Ej0VZ,1,10
rlrQQo,1,30
vNx84X,2,50
OABxLk,1,70
MAd2V0,1,10
8dpbGk,2,90
zKQ8ja,1,30
YZzBLJ,1,70
QABNdl,3,50
8dpbko,2,150
XeB6Ee,4,90
KMBroK,0,10
24x9rg,1,30
dY2JjD,2,30
LdMjyz,1,30
9dJYM1,4,50
kYR4rj,2,30
pLPN7q,1,50
6dQ0eO,0,10
42NlLd,2,30
LdMxaj,2,70
BGbJZ4,2,70
J2kER7,2,30
eBxgQO,0,10
J2kELz,2,30
LdMjqJ,5,150
oAVNeM,3,30
oAVZ95,2,50
eBxGvE,5,70
g5NPYO,3,50
xdNbxo,2,30
zKQ8ZZ,3,70
rlrQxl,2,30
VZ1W8N,2,50
WAp6PN,2,30
DVvo9l,3,50
ylqAdB,5,50
EPbo0L,5,90
ylqAY6,1,30
AlbR7B,3,50
EPbVxA,0,50
BGboo4,2,70
dY2GGD,0,10
oAV8o5,2,50
WApa9N,0,10
BGbJE5,0,10
0EjzA9,2,50
vNx6YX,2,30
WApaAQ,2,50
J2krZX,3,50
oAVN6V,2,50
VZ1WVN,0,10
42Nlko,2,50
RzBq4P,0,30
1r2QM4,1,10
LdM4d2,2,10
42N0dB,3,30
jB98M9,2,50
1r205O,1,30
5dq0yE,3,30
YZzb4N,1,50
QABq7Y,1,50
PABQDd,1,30
9dJY7E,2,30
24xYgM,1,50
KMB25K,2,30
GrBEvo,3,50
rlrQrv,2,70
LdMxpz,2,70
ZdRblA,2,30
bl4My7,3,50
XeB72d,1,30
zKQBXq,2,10
rlr9Yv,2,30
dY2GNy,1,30
zKQA18,0,50
ZdRAAV,3,30
VZ17Ev,1,50
NAB2Ab,3,50
rlr9yM,3,50
5dqYbv,3,70
AlbRKW,1,50
ylqb6X,2,30
dY2oKz,1,50
oAVN61,2,30
rlr9yv,3,50
kYR4Nr,2,30
zKQ4kq,2,30
RzBeoP,2,30
24xYJL,1,10
ZdRAWA,4,70
rlr9OL,2,50
PABQdQ,4,50
1r20NQ,3,50
qbEqj2,2,30
g5NV9P,2,30
42NY8Y,1,10
GrBVJp,1,30
7d90RL,2,90
lNl8WV,1,30
vNxaEA,2,50
0EjY5P,1,30
eBxO5q,0,10
lNlXyB,1,30
1r2Yx4,3,50
1r20WM,1,30
J2krad,2,30
DVvo05,2,50
VZ1aJj,1,30
aBrJxZ,1,10
9dJ0qG,1,30
PABN1x,3,30
8dpDDk,1,90
VZ1WYN,2,30
jB98WY,2,30
xdN8yk,5,50
rlr8LX,1,50
GrBODO,5,30
7d97a0,1,30
WApale,1,30
oAV8dN,2,50
5dqaeZ,3,90
g5N8v4,2,70
oAV8lb,1,50
jB9871,2,50
9dJA2E,1,30
PABZBx,1,30
DVvRWR,1,50
dY2JDV,4,150
bl41Y1,1,10
rlr8vR,2,90
xdN89d,3,50
kYR8Jo,2,90
YZz7xW,1,70
rlr8k2,1,30
7d97ER,1,30
GrBOBO,2,50
42NlPr,3,50
XeB6OP,1,50
VZ1W4y,5,150
kYR8ve,2,30
YZz7oN,2,30
OABxYM,2,30
xdN8lv,1,10
eBxgYk,1,50
RzBqj9,2,10
1r2QGg,2,70
MAdj6k,3,150
OABxER,1,30
BGbJ0K,2,30
qbE8jO,5,50
kYR8ze,1,150
GrBODQ,5,30
vNx8KD,2,50
oAV8VN,1,30
VZ1Wxg,2,50
24x9Oe,2,50
KMBrO8,1,30
WApa1v,1,30
bl41gL,1,10
EPbovB,1,70
ylq8e8,3,30
24x9ZL,2,150
MAdjGM,2,30
24x9Zj,1,30
rlr8kR,2,50
g5N8pl,2,50
rlr8qN,3,30
ylq87g,1,30
GrBO7Z,3,150
NAB2Rj,1,30
RzBqkj,2,50
xdN86r,1,30
9dJArQ,1,150
EPboa4,2,90
WApaQN,1,30
42NlN5,1,30
AlbM50,2,50
QABNap,2,10
dY2Jkd,1,50
RzBqr9,1,50
lNl89W,3,90
PABZGB,1,90
RzBqjj,1,50
LdM4ov,1,30
GrBO5k,2,50
ZdRbWo,2,90
AlbMQD,1,30
42NlqX,1,30
24x9D9,3,30
QABNE7,5,90
6dQ6QN,2,50
KMBrkV,1,30
g5N8NJ,2,50
aBrpab,0,30
bl41vZ,2,10
qbE8NG,2,150
eBxgoe,2,30
aBrpkB,2,70
vNx8g0,1,30
NAB2Ol,1,70
GrBObk,2,30
kYR8x1,1,150
g5N8z4,2,30
lNl8zv,2,50
jB98z4,2,30
RzBqVj,1,50
BGbJ6Q,2,150
QABN8Y,3,70
24x9o9,1,50
BGbJ9Q,2,30
PABZrV,2,30
lNl84k,2,150
rlr8YR,3,90
zKQ8L0,1,50
NAB2El,2,90
9dJAMV,3,70
YZz79J,2,50
5dqaod,2,50
GrBOgp,1,150
dY2Jgo,3,50
AlbMAe,2,30
XeB6d4,5,150
QABNX8,1,30
1r2QBp,2,50
VZ1WY6,2,50
6dQ6MJ,1,50
oAV8vx,2,30
oAV8gP,1,50
EPboJ2,1,70
MAdjVA,1,50
EPboEX,3,30
6dQ64k,3,50
NAB240,3,30
OABxEg,2,90
NAB2gB,2,50
vNx8vQ,1,30
qbE8k9,2,50
qbE8v9,1,30
jB98Yx,0,10
rlr8gN,1,90
XeB6Ng,2,30
OABx97,3,50
42NlEX,1,50
LdM4al,2,30
ZdRbDB,1,30
6dQ6Vk,2,50
8dpbVx,1,30
1r2Q6l,3,10
7d97MR,0,30
ylq8GB,1,10
kYR8p1,2,70
8dpbgx,2,50
VZ1Wqg,2,30
WApaBa,2,50
dY2J1q,2,30
vNx8W0,1,50
5dqaOo,2,70
QABNWp,0,10
ZdRbQo,1,50
NAB2yB,2,150
oAV81e,2,50
PABZYx,2,30
PABZWb,1,30
XeB6v4,5,30
9dJAxQ,2,50
DVvRE5,2,50
lNl87X,1,30
eBxgye,1,30
aBrpgq,1,30
OABxrR,3,50
1r2QxQ,1,50
AlbM9z,3,50
8dpbWO,1,50
7d97zA,1,30
24x9zV,2,10
rlr8YN,2,50
xdN80d,2,50
1r2QgW,3,30
EPbo64,2,70
qbE877,3,50
KMBrGV,2,50
6dQ6WY,2,150
EPboA4,1,10
PABZy5,1,30
ZdRbgz,1,30
EPbo6r,1,50
6dQ6zB,2,50
LdM4Ey,3,50
ylq8gg,1,30
42NlOY,2,30
MAdjPM,2,70
8dpb5O,4,70
1r2QRl,2,10
jB985Q,2,150
J2kEBo,2,10
eBxgvk,2,70
7d97jZ,2,30
dY2JzK,1,50
PABZe5,1,50
J2kEGo,1,30
ylq8zx,1,50
xdN8z5,2,30
NAB2dj,2,30
ylq81x,1,30
vNx8zD,1,50
oAV8zP,3,30
QABNkG,1,30
PABZqd,3,90
oAV8LX,2,90
XeB6Pd,2,10
AlbMRB,2,70
jB98XR,2,30
NAB2Zb,0,10
aBrpMy,2,30
OABxKK,2,30
EPbooq,0,10
PABZq0,2,70
GrBOE2,1,150
pLPYYZ,1,30
GrBOVj,2,150
rlr8Z5,1,70
KMBr2M,2,30
kYR8BJ,2,50
aBrpJ9,1,10
bl41a0,2,70
RzBqyp,2,30
1r2Q0M,2,50
GrBOO2,3,30
jB98V6,1,30
QABNpg,3,50
DVvR6j,2,50
xdN8q9,1,30
xdN8W9,2,30
rlr8ep,4,30
WApa4L,2,50
lNl8pV,2,10
9dJAbX,2,70
zKQ8A1,2,10
QABNP1,2,10
pLPYEE,0,10
GrBOMQ,2,30
RzBqpQ,2,50
24x9MM,1,10
7d9rX0,2,10
YZz72z,0,10
42Nl0b,2,30
lNl8JX,1,150
xdN8kd,0,10
VZ1WWE,1,30
bl4QV6,1,10
LdM4xG,3,90
VZ1OLj,2,70
KMBrrk,1,50
5dqaWQ,2,70
NAB22W,5,150
eBxWZx,3,150
OABxOM,2,50
lNl825,4,50
EPboy2,1,50
LdM48z,2,50
KMBKYX,3,50
NAB21W,1,10
42NlMo,0,30
BGbJv4,2,30
rlr8No,1,30
24xGEe,2,30
lNlkBN,2,30
eBxWae,2,30
WApavR,4,50
1r2o9p,2,30
OABM7R,1,30
aBrqOX,2,30
qbE1GG,1,50
8dp4aP,2,50
0EjR7j,2,10
YZz7EN,2,30
OABxRk,2,50
AlbMgN,1,30
OABxWM,2,50
xdN5Yy,2,30
AlbMYB,3,50
ylq5Jg,1,30
VZ1WRj,2,70
jB9Ala,3,70
YZzl4B,4,50
J2kvz4,2,30
oAV8W5,2,70
oAVLGe,2,90
KMBKlA,0,30
6dQEDY,2,30
1r2o7Q,2,50
1r2oVQ,2,50
0EjR8y,2,30
LdMLzp,2,150
LdML7p,1,50
jB9Ab4,2,30
aBrq4B,1,30
DVv6Nq,3,50
DVv6pR,2,30
rlrMON,1,30
g5N6Ml,2,30
NAB1oB,4,70
VZ1Ojy,2,10
dY2exq,3,30
RzByo9,1,50
XeBP4g,0,10
vNx5P0,3,50
6dQEZk,3,90
bl4QeL,1,30
PABJ55,3,30
aBrq9b,2,50
LdMLPv,2,30
qbE1VY,2,30
oAVLEx,2,30
PABJ1V,1,50
0EjR6N,2,70
BGbW75,2,30
8dp4L5,2,50
GrBARZ,1,30
rlrMBR,1,50
GrBAve,1,50
g5N6qO,0,30
J2kvOo,2,50
GrBAlp,3,70
7d9r2P,3,70
1r2odl,1,30
J2kvdR,1,30
jB9APx,2,30
DVv6kZ,1,30
xdN8Ok,1,30
NAB1qO,3,50
GrBA9Z,3,70
bl4Qdg,2,30
5dqPZo,2,50
J2kEyz,3,50
jB98j9,2,50
DVv67R,4,50
QABlV8,1,10
LdMLpj,1,30
42NVrX,2,50
VZ1OpM,2,30
42NlWr,1,50
KMBKV8,1,50
aBrq6q,2,30
YZzlPW,1,30
zKQ5jM,3,50
XeBPJY,2,70
kYRB61,2,90
zKQ5y0,3,50
RzBy5d,4,90
ZdRrNy,2,30
6dQE7B,2,70
0EjRey,2,30
QABlDp,1,30
24xGB9,2,50
EPb7QX,2,30
qbE1AY,2,70
RzByD9,2,30
42NVQY,2,30
EPb7XX,1,30
Albe2z,3,50
PABJ9V,3,50
rlrM5R,5,50
kYR8Pj,2,50
J2kvqK,0,30
J2kv1K,3,30
PABJpB,1,30
EPb7l4,3,50
XeBP0j,1,90
vNx5Yv,2,70
NAB1WB,2,50
42NV8k,2,70
VZ1OQg,2,70
LdMLWj,4,50
LdMLKv,1,10
zKQ5Ya,2,50
pLPpoJ,1,50
lNlkqv,2,50
GrBO2O,2,30
KMBK1A,0,10
dY2e9o,1,30
9dJjQp,4,70
QABl58,3,50
BGbWk5,2,30
24xGPj,2,50
0EjRdB,5,50
RzByPd,2,90
RzBq9P,2,50
PABJ65,2,30
oAVLRP,2,30
24xGPL,0,30
rlr84L,1,10
VZ1O0v,2,50
8dp4xO,2,30
bl4QWL,2,50
qbE1a9,2,30
VZ1O5J,3,90
rlrMPl,0,30
EPb7XN,2,30
dY2e0o,1,30
lNlkyB,3,10
BGbJo7,3,150
xdN5ay,2,150
GrBAdp,0,10
BGbWxQ,3,30
MAdpzp,2,150
RzBy0J,2,50
PABJ1e,2,30
XeBPWj,1,30
g5N6Gl,3,70
jB9AZJ,1,50
g5N6e4,3,50
0Ejq9Q,2,90
xdN8EG,2,50
zKQ5Da,1,50
xdN5Xv,2,90
24xGAj,2,150
lNl8j5,2,30
YZz7Nv,2,30
VZ1OEj,2,90
bl4Qlo,3,90
42NVkO,2,30
9dJjdY,2,70
WApV0J,0,10
1r2oEM,4,10
jB9AME,2,90
GrBAro,2,50
KMBK67,0,30
xdN5QG,1,70
XeBPe4,1,30
8dp4kx,2,30
EPb71N,3,30
eBxWBO,2,30
6dQExe,2,50
24xGrp,2,70
5dqP2M,3,50
QABlrg,1,30
xdN5Qo,2,30
vNx5AQ,1,10
YZzldq,1,30
zKQ5zq,1,30
5dqPkd,3,90
1r2ovO,2,70
PABJB0,1,50
AlbeDW,1,30
GrBA1o,2,150
6dQE15,2,50
LdMLG1,3,70
LdML0G,1,50
