Submission ID,cup_assumptions,spent_assumptions,eq_assumptions
ylqbBg,2,1.0,750
YZzBdN,2,1.6666666666666667,75
VZ17Z6,1,1.0,200
RzBeZj,5,1.6666666666666667,400
WApbkQ,2,2.3333333333333335,1250
0Ej0WA,2,5.0,200
9dJYlQ,2,1.0,75
bl41Zg,0,0.3333333333333333,35
eBxG20,3,1.0,1250
NAB2qB,2,2.3333333333333335,1250
RzBqoJ,2,1.6666666666666667,750
5dqajd,5,5.0,400
VZ1W0E,5,5.0,750
NABN5G,5,1.6666666666666667,200
6dQY8o,2,5.0,1250
WAp6va,5,2.3333333333333335,1250
OABqQp,2,1.0,35
jB9r21,1,5.0,1250
pLPYLE,2,1.6666666666666667,1250
g5NPxK,2,1.6666666666666667,1250
bl41kE,2,3.0,750
GrBO1z,2,1.6666666666666667,200
xdN8Q9,2,1.6666666666666667,750
vNx8Xv,1,1.0,75
dY2JPN,2,1.0,75
MAdjLE,2,5.0,1250
6dQ6xo,3,1.6666666666666667,1250
7d97lZ,2,5.0,35
0EjqPQ,3,1.6666666666666667,400
BGbJD4,1,1.0,200
9dJYbp,3,1.0,200
xdNbJ9,1,1.0,400
pLPNQJ,1,1.6666666666666667,400
AlbMLW,2,3.0,750
EPboPq,3,5.0,750
ylq8yW,3,1.0,35
J2kEDz,1,1.0,750
24x9Lg,2,1.0,400
0EjYb6,3,5.0,1250
ZdRb6a,2,1.0,750
WApbdP,3,1.0,400
24xY69,2,1.0,35
RzBqWd,1,1.6666666666666667,200
RzBqLv,5,1.6666666666666667,750
oAV8d5,3,1.6666666666666667,750
oAV8OM,2,2.3333333333333335,1250
AlbYyW,1,1.0,200
KMB4kk,1,2.3333333333333335,35
42N0Kd,2,2.3333333333333335,400
0Ej0VZ,1,0.3333333333333333,35
rlrQQo,1,1.0,10
vNx84X,2,1.6666666666666667,1250
OABxLk,1,2.3333333333333335,1250
MAd2V0,1,0.3333333333333333,10
8dpbGk,2,3.0,1250
zKQ8ja,1,1.0,1250
YZzBLJ,1,2.3333333333333335,75
QABNdl,3,1.6666666666666667,750
8dpbko,2,5.0,1250
XeB6Ee,4,3.0,1250
KMBroK,0,0.3333333333333333,10
24x9rg,1,1.0,400
dY2JjD,2,1.0,400
LdMjyz,1,1.0,750
9dJYM1,4,1.6666666666666667,400
kYR4rj,2,1.0,75
pLPN7q,1,1.6666666666666667,1250
6dQ0eO,0,0.3333333333333333,1250
42NlLd,2,1.0,750
LdMxaj,2,2.3333333333333335,750
BGbJZ4,2,2.3333333333333335,1250
J2kER7,2,1.0,200
eBxgQO,0,0.3333333333333333,200
J2kELz,2,1.0,200
LdMjqJ,5,5.0,750
oAVNeM,3,1.0,75
oAVZ95,2,1.6666666666666667,750
eBxGvE,5,2.3333333333333335,1250
g5NPYO,3,1.6666666666666667,200
xdNbxo,2,1.0,75
zKQ8ZZ,3,2.3333333333333335,400
rlrQxl,2,1.0,400
VZ1W8N,2,1.6666666666666667,750
WAp6PN,2,1.0,1250
DVvo9l,3,1.6666666666666667,1250
ylqAdB,5,1.6666666666666667,200
EPbo0L,5,3.0,750
ylqAY6,1,1.0,200
AlbR7B,3,1.6666666666666667,400
EPbVxA,0,1.6666666666666667,750
BGboo4,2,2.3333333333333335,750
dY2GGD,0,0.3333333333333333,10
oAV8o5,2,1.6666666666666667,200
WApa9N,0,0.3333333333333333,10
BGbJE5,0,0.3333333333333333,75
0EjzA9,2,1.6666666666666667,750
vNx6YX,2,1.0,400
WApaAQ,2,1.6666666666666667,1250
J2krZX,3,1.6666666666666667,200
oAVN6V,2,1.6666666666666667,750
VZ1WVN,0,0.3333333333333333,35
42Nlko,2,1.6666666666666667,1250
RzBq4P,0,1.0,1250
1r2QM4,1,0.3333333333333333,1250
LdM4d2,2,0.3333333333333333,200
42N0dB,3,1.0,200
jB98M9,2,1.6666666666666667,400
5dq0yE,3,1.0,1250
YZzb4N,1,1.6666666666666667,750
QABq7Y,1,1.6666666666666667,1250
PABQDd,1,1.0,200
9dJY7E,2,1.0,200
24xYgM,1,1.6666666666666667,750
KMB25K,2,1.0,400
GrBEvo,3,1.6666666666666667,750
rlrQrv,2,2.3333333333333335,200
LdMxpz,2,2.3333333333333335,200
ZdRblA,2,1.0,1250
bl4My7,3,1.6666666666666667,75
XeB72d,1,1.0,750
zKQBXq,2,0.3333333333333333,1250
rlr9Yv,2,1.0,35
dY2GNy,1,1.0,35
zKQA18,0,1.6666666666666667,200
ZdRAAV,3,1.0,400
VZ17Ev,1,1.6666666666666667,400
NAB2Ab,3,1.6666666666666667,400
rlr9yM,3,1.6666666666666667,750
5dqYbv,3,2.3333333333333335,1250
AlbRKW,1,1.6666666666666667,1250
ylqb6X,2,1.0,750
dY2oKz,1,1.6666666666666667,400
oAVN61,2,1.0,750
rlr9yv,3,1.6666666666666667,400
kYR4Nr,2,1.0,1250
zKQ4kq,2,1.0,1250
RzBeoP,2,1.0,200
24xYJL,1,0.3333333333333333,200
ZdRAWA,4,2.3333333333333335,1250
rlr9OL,2,1.6666666666666667,1250
PABQdQ,4,1.6666666666666667,35
1r20NQ,3,1.6666666666666667,1250
qbEqj2,2,1.0,75
g5NV9P,2,1.0,1250
42NY8Y,1,0.3333333333333333,75
GrBVJp,1,1.0,200
7d90RL,2,3.0,200
lNl8WV,1,1.0,400
vNxaEA,2,1.6666666666666667,400
0EjY5P,1,1.0,200
eBxO5q,0,0.3333333333333333,35
lNlXyB,1,1.0,75
1r2Yx4,3,1.6666666666666667,750
1r20WM,1,1.0,1250
J2krad,2,1.0,200
DVvo05,2,1.6666666666666667,200
VZ1aJj,1,1.0,750
aBrJxZ,1,0.3333333333333333,200
9dJ0qG,1,1.0,200
PABN1x,3,1.0,750
8dpDDk,1,3.0,400
VZ1WYN,2,1.0,200
jB98WY,2,1.0,750
xdN8yk,5,1.6666666666666667,1250
rlr8LX,1,1.6666666666666667,75
GrBODO,5,1.0,1250
7d97a0,1,1.0,200
WApale,1,1.0,1250
oAV8dN,2,1.6666666666666667,1250
5dqaeZ,3,3.0,1250
g5N8v4,2,2.3333333333333335,1250
oAV8lb,1,1.6666666666666667,75
jB9871,2,1.6666666666666667,200
9dJA2E,1,1.0,1250
PABZBx,1,1.0,750
DVvRWR,1,1.6666666666666667,1250
dY2JDV,4,5.0,750
bl41Y1,1,0.3333333333333333,75
rlr8vR,2,3.0,1250
xdN89d,3,1.6666666666666667,750
kYR8Jo,2,3.0,750
YZz7xW,1,2.3333333333333335,1250
rlr8k2,1,1.0,400
7d97ER,1,1.0,200
GrBOBO,2,1.6666666666666667,1250
42NlPr,3,1.6666666666666667,750
XeB6OP,1,1.6666666666666667,75
VZ1W4y,5,5.0,1250
kYR8ve,2,1.0,200
YZz7oN,2,1.0,750
OABxYM,2,1.0,200
xdN8lv,1,0.3333333333333333,200
eBxgYk,1,1.6666666666666667,400
RzBqj9,2,0.3333333333333333,750
1r2QGg,2,2.3333333333333335,750
MAdj6k,3,5.0,1250
OABxER,1,1.0,75
BGbJ0K,2,1.0,750
qbE8jO,5,1.6666666666666667,750
kYR8ze,1,5.0,200
GrBODQ,5,1.0,200
vNx8KD,2,1.6666666666666667,400
oAV8VN,1,1.0,400
VZ1Wxg,2,1.6666666666666667,750
24x9Oe,2,1.6666666666666667,750
KMBrO8,1,1.0,1250
WApa1v,1,1.0,200
bl41gL,1,0.3333333333333333,75
ylq8e8,3,1.0,200
24x9ZL,2,5.0,400
MAdjGM,2,1.0,200
24x9Zj,1,1.0,1250
rlr8kR,2,1.6666666666666667,200
g5N8pl,2,1.6666666666666667,400
rlr8qN,3,1.0,75
ylq87g,1,1.0,750
GrBO7Z,3,5.0,1250
NAB2Rj,1,1.0,1250
RzBqkj,2,1.6666666666666667,1250
xdN86r,1,1.0,200
9dJArQ,1,5.0,1250
EPboa4,2,3.0,200
WApaQN,1,1.0,10
42NlN5,1,1.0,200
AlbM50,2,1.6666666666666667,75
QABNap,2,0.3333333333333333,10
dY2Jkd,1,1.6666666666666667,200
RzBqr9,1,1.6666666666666667,750
lNl89W,3,3.0,75
PABZGB,1,3.0,75
RzBqjj,1,1.6666666666666667,750
LdM4ov,1,1.0,1250
GrBO5k,2,1.6666666666666667,400
ZdRbWo,2,3.0,750
AlbMQD,1,1.0,75
42NlqX,1,1.0,1250
24x9D9,3,1.0,75
QABNE7,5,3.0,200
6dQ6QN,2,1.6666666666666667,200
KMBrkV,1,1.0,750
g5N8NJ,2,1.6666666666666667,1250
aBrpab,0,1.0,35
bl41vZ,2,0.3333333333333333,35
qbE8NG,2,5.0,1250
eBxgoe,2,1.0,200
aBrpkB,2,2.3333333333333335,75
vNx8g0,1,1.0,35
NAB2Ol,1,2.3333333333333335,200
GrBObk,2,1.0,750
kYR8x1,1,5.0,400
g5N8z4,2,1.0,200
lNl8zv,2,1.6666666666666667,1250
jB98z4,2,1.0,200
RzBqVj,1,1.6666666666666667,1250
BGbJ6Q,2,5.0,750
QABN8Y,3,2.3333333333333335,200
24x9o9,1,1.6666666666666667,1250
BGbJ9Q,2,1.0,35
PABZrV,2,1.0,1250
lNl84k,2,5.0,1250
rlr8YR,3,3.0,1250
zKQ8L0,1,1.6666666666666667,1250
NAB2El,2,3.0,35
9dJAMV,3,2.3333333333333335,750
YZz79J,2,1.6666666666666667,10
5dqaod,2,1.6666666666666667,200
GrBOgp,1,5.0,200
dY2Jgo,3,1.6666666666666667,200
AlbMAe,2,1.0,400
XeB6d4,5,5.0,1250
QABNX8,1,1.0,750
1r2QBp,2,1.6666666666666667,1250
VZ1WY6,2,1.6666666666666667,200
6dQ6MJ,1,1.6666666666666667,750
oAV8vx,2,1.0,75
oAV8gP,1,1.6666666666666667,400
EPboJ2,1,2.3333333333333335,1250
MAdjVA,1,1.6666666666666667,400
EPboEX,3,1.0,1250
6dQ64k,3,1.6666666666666667,35
NAB240,3,1.0,200
OABxEg,2,3.0,750
NAB2gB,2,1.6666666666666667,75
vNx8vQ,1,1.0,75
qbE8k9,2,1.6666666666666667,400
qbE8v9,1,1.0,400
jB98Yx,0,0.3333333333333333,75
rlr8gN,1,3.0,750
XeB6Ng,2,1.0,1250
OABx97,3,1.6666666666666667,750
42NlEX,1,1.6666666666666667,200
LdM4al,2,1.0,200
ZdRbDB,1,1.0,1250
6dQ6Vk,2,1.6666666666666667,200
8dpbVx,1,1.0,750
1r2Q6l,3,0.3333333333333333,200
7d97MR,0,1.0,200
ylq8GB,1,0.3333333333333333,750
kYR8p1,2,2.3333333333333335,1250
8dpbgx,2,1.6666666666666667,750
VZ1Wqg,2,1.0,200
WApaBa,2,1.6666666666666667,75
dY2J1q,2,1.0,750
vNx8W0,1,1.6666666666666667,75
5dqaOo,2,2.3333333333333335,750
QABNWp,0,0.3333333333333333,75
ZdRbQo,1,1.6666666666666667,400
NAB2yB,2,5.0,400
oAV81e,2,1.6666666666666667,1250
PABZYx,2,1.0,400
PABZWb,1,1.0,200
XeB6v4,5,1.0,200
9dJAxQ,2,1.6666666666666667,400
DVvRE5,2,1.6666666666666667,200
lNl87X,1,1.0,400
eBxgye,1,1.0,10
aBrpgq,1,1.0,200
OABxrR,3,1.6666666666666667,200
1r2QxQ,1,1.6666666666666667,200
AlbM9z,3,1.6666666666666667,200
8dpbWO,1,1.6666666666666667,10
7d97zA,1,1.0,400
24x9zV,2,0.3333333333333333,35
rlr8YN,2,1.6666666666666667,400
xdN80d,2,1.6666666666666667,1250
1r2QgW,3,1.0,1250
EPbo64,2,2.3333333333333335,1250
qbE877,3,1.6666666666666667,400
KMBrGV,2,1.6666666666666667,1250
6dQ6WY,2,5.0,200
EPboA4,1,0.3333333333333333,400
ZdRbgz,1,1.0,1250
EPbo6r,1,1.6666666666666667,75
6dQ6zB,2,1.6666666666666667,750
LdM4Ey,3,1.6666666666666667,200
ylq8gg,1,1.0,750
42NlOY,2,1.0,750
MAdjPM,2,2.3333333333333335,1250
8dpb5O,4,2.3333333333333335,1250
1r2QRl,2,0.3333333333333333,200
jB985Q,2,5.0,1250
J2kEBo,2,0.3333333333333333,35
eBxgvk,2,2.3333333333333335,200
7d97jZ,2,1.0,750
dY2JzK,1,1.6666666666666667,400
PABZe5,1,1.6666666666666667,750
J2kEGo,1,1.0,400
ylq8zx,1,1.6666666666666667,1250
xdN8z5,2,1.0,1250
NAB2dj,2,1.0,750
ylq81x,1,1.0,400
vNx8zD,1,1.6666666666666667,400
oAV8zP,3,1.0,200
QABNkG,1,1.0,400
PABZqd,3,3.0,750
oAV8LX,2,3.0,200
XeB6Pd,2,0.3333333333333333,200
AlbMRB,2,2.3333333333333335,1250
jB98XR,2,1.0,400
NAB2Zb,0,0.3333333333333333,10
aBrpMy,2,1.0,75
OABxKK,2,1.0,200
EPbooq,0,0.3333333333333333,10
PABZq0,2,2.3333333333333335,1250
GrBOE2,1,5.0,1250
pLPYYZ,1,1.0,750
GrBOVj,2,5.0,1250
rlr8Z5,1,2.3333333333333335,400
KMBr2M,2,1.0,200
kYR8BJ,2,1.6666666666666667,35
aBrpJ9,1,0.3333333333333333,750
bl41a0,2,2.3333333333333335,750
RzBqyp,2,1.0,750
1r2Q0M,2,1.6666666666666667,750
GrBOO2,3,1.0,1250
jB98V6,1,1.0,200
QABNpg,3,1.6666666666666667,750
DVvR6j,2,1.6666666666666667,1250
xdN8q9,1,1.0,75
xdN8W9,2,1.0,400
rlr8ep,4,1.0,1250
WApa4L,2,1.6666666666666667,1250
lNl8pV,2,0.3333333333333333,35
9dJAbX,2,2.3333333333333335,400
zKQ8A1,2,0.3333333333333333,75
QABNP1,2,0.3333333333333333,1250
pLPYEE,0,0.3333333333333333,35
GrBOMQ,2,1.0,200
RzBqpQ,2,1.6666666666666667,1250
24x9MM,1,0.3333333333333333,200
7d9rX0,2,0.3333333333333333,200
YZz72z,0,0.3333333333333333,75
42Nl0b,2,1.0,750
lNl8JX,1,5.0,1250
xdN8kd,0,0.3333333333333333,35
VZ1WWE,1,1.0,75
bl4QV6,1,0.3333333333333333,75
LdM4xG,3,3.0,750
VZ1OLj,2,2.3333333333333335,1250
KMBrrk,1,1.6666666666666667,400
5dqaWQ,2,2.3333333333333335,200
NAB22W,5,5.0,1250
eBxWZx,3,5.0,1250
OABxOM,2,1.6666666666666667,400
lNl825,4,1.6666666666666667,750
EPboy2,1,1.6666666666666667,1250
LdM48z,2,1.6666666666666667,75
KMBKYX,3,1.6666666666666667,400
NAB21W,1,0.3333333333333333,200
42NlMo,0,1.0,200
BGbJv4,2,1.0,200
rlr8No,1,1.0,400
24xGEe,2,1.0,750
lNlkBN,2,1.0,35
eBxWae,2,1.0,200
WApavR,4,1.6666666666666667,750
1r2o9p,2,1.0,750
OABM7R,1,1.0,400
aBrqOX,2,1.0,750
qbE1GG,1,1.6666666666666667,400
8dp4aP,2,1.6666666666666667,750
0EjR7j,2,0.3333333333333333,750
YZz7EN,2,1.0,200
OABxRk,2,1.6666666666666667,10
AlbMgN,1,1.0,75
OABxWM,2,1.6666666666666667,75
xdN5Yy,2,1.0,400
AlbMYB,3,1.6666666666666667,750
ylq5Jg,1,1.0,750
VZ1WRj,2,2.3333333333333335,400
jB9Ala,3,2.3333333333333335,400
J2kvz4,2,1.0,35
oAV8W5,2,2.3333333333333335,1250
oAVLGe,2,3.0,750
KMBKlA,0,1.0,750
6dQEDY,2,1.0,75
1r2o7Q,2,1.6666666666666667,400
1r2oVQ,2,1.6666666666666667,400
0EjR8y,2,1.0,1250
LdMLzp,2,5.0,1250
LdML7p,1,1.6666666666666667,400
jB9Ab4,2,1.0,750
aBrq4B,1,1.0,750
DVv6Nq,3,1.6666666666666667,1250
DVv6pR,2,1.0,1250
rlrMON,1,1.0,75
g5N6Ml,2,1.0,200
NAB1oB,4,2.3333333333333335,1250
VZ1Ojy,2,0.3333333333333333,35
dY2exq,3,1.0,400
RzByo9,1,1.6666666666666667,1250
XeBP4g,0,0.3333333333333333,400
vNx5P0,3,1.6666666666666667,400
6dQEZk,3,3.0,750
bl4QeL,1,1.0,1250
PABJ55,3,1.0,400
aBrq9b,2,1.6666666666666667,35
LdMLPv,2,1.0,35
qbE1VY,2,1.0,200
oAVLEx,2,1.0,750
PABJ1V,1,1.6666666666666667,1250
0EjR6N,2,2.3333333333333335,400
BGbW75,2,1.0,1250
8dp4L5,2,1.6666666666666667,1250
GrBARZ,1,1.0,200
rlrMBR,1,1.6666666666666667,1250
GrBAve,1,1.6666666666666667,200
g5N6qO,0,1.0,10
J2kvOo,2,1.6666666666666667,750
GrBAlp,3,2.3333333333333335,400
7d9r2P,3,2.3333333333333335,750
1r2odl,1,1.0,75
J2kvdR,1,1.0,200
jB9APx,2,1.0,200
DVv6kZ,1,1.0,10
xdN8Ok,1,1.0,10
NAB1qO,3,1.6666666666666667,1250
GrBA9Z,3,2.3333333333333335,750
bl4Qdg,2,1.0,750
5dqPZo,2,1.6666666666666667,75
J2kEyz,3,1.6666666666666667,1250
jB98j9,2,1.6666666666666667,1250
DVv67R,4,1.6666666666666667,1250
QABlV8,1,0.3333333333333333,200
LdMLpj,1,1.0,1250
42NVrX,2,1.6666666666666667,1250
VZ1OpM,2,1.0,75
42NlWr,1,1.6666666666666667,35
KMBKV8,1,1.6666666666666667,200
aBrq6q,2,1.0,400
YZzlPW,1,1.0,200
zKQ5jM,3,1.6666666666666667,1250
XeBPJY,2,2.3333333333333335,400
kYRB61,2,3.0,1250
zKQ5y0,3,1.6666666666666667,750
RzBy5d,4,3.0,750
ZdRrNy,2,1.0,750
6dQE7B,2,2.3333333333333335,1250
0EjRey,2,1.0,75
QABlDp,1,1.0,10
24xGB9,2,1.6666666666666667,750
EPb7QX,2,1.0,1250
qbE1AY,2,2.3333333333333335,400
RzByD9,2,1.0,35
42NVQY,2,1.0,1250
EPb7XX,1,1.0,200
Albe2z,3,1.6666666666666667,1250
PABJ9V,3,1.6666666666666667,200
rlrM5R,5,1.6666666666666667,400
kYR8Pj,2,1.6666666666666667,1250
J2kvqK,0,1.0,35
J2kv1K,3,1.0,200
PABJpB,1,1.0,400
EPb7l4,3,1.6666666666666667,200
XeBP0j,1,3.0,1250
vNx5Yv,2,2.3333333333333335,1250
NAB1WB,2,1.6666666666666667,400
42NV8k,2,2.3333333333333335,1250
VZ1OQg,2,2.3333333333333335,200
LdMLWj,4,1.6666666666666667,750
LdMLKv,1,0.3333333333333333,75
zKQ5Ya,2,1.6666666666666667,200
pLPpoJ,1,1.6666666666666667,400
lNlkqv,2,1.6666666666666667,1250
GrBO2O,2,1.0,200
KMBK1A,0,0.3333333333333333,35
dY2e9o,1,1.0,400
9dJjQp,4,2.3333333333333335,750
QABl58,3,1.6666666666666667,750
BGbWk5,2,1.0,1250
24xGPj,2,1.6666666666666667,35
RzByPd,2,3.0,1250
RzBq9P,2,1.6666666666666667,75
PABJ65,2,1.0,200
oAVLRP,2,1.0,200
24xGPL,0,1.0,400
rlr84L,1,0.3333333333333333,200
VZ1O0v,2,1.6666666666666667,1250
8dp4xO,2,1.0,200
bl4QWL,2,1.6666666666666667,1250
qbE1a9,2,1.0,200
VZ1O5J,3,3.0,750
rlrMPl,0,1.0,400
EPb7XN,2,1.0,75
dY2e0o,1,1.0,75
lNlkyB,3,0.3333333333333333,75
BGbJo7,3,5.0,1250
xdN5ay,2,5.0,1250
GrBAdp,0,0.3333333333333333,10
BGbWxQ,3,1.0,200
MAdpzp,2,5.0,1250
RzBy0J,2,1.6666666666666667,400
PABJ1e,2,1.0,75
XeBPWj,1,1.0,400
g5N6Gl,3,2.3333333333333335,400
jB9AZJ,1,1.6666666666666667,10
g5N6e4,3,1.6666666666666667,200
0Ejq9Q,2,3.0,400
xdN8EG,2,1.6666666666666667,35
zKQ5Da,1,1.6666666666666667,200
xdN5Xv,2,3.0,750
24xGAj,2,5.0,1250
lNl8j5,2,1.0,200
YZz7Nv,2,1.0,200
VZ1OEj,2,3.0,1250
bl4Qlo,3,3.0,1250
42NVkO,2,1.0,200
9dJjdY,2,2.3333333333333335,750
WApV0J,0,0.3333333333333333,10
1r2oEM,4,0.3333333333333333,75
jB9AME,2,3.0,750
GrBAro,2,1.6666666666666667,1250
KMBK67,0,1.0,400
xdN5QG,1,2.3333333333333335,200
XeBPe4,1,1.0,1250
8dp4kx,2,1.0,400
EPb71N,3,1.0,200
eBxWBO,2,1.0,400
6dQExe,2,1.6666666666666667,200
24xGrp,2,2.3333333333333335,750
5dqP2M,3,1.6666666666666667,750
QABlrg,1,1.0,400
xdN5Qo,2,1.0,400
